"id","group","tissue","datetime","raw_counts_genes","raw_counts_individuals","raw_metadata_individuals","raw_metadata_features","filtered_counts_genes","filtered_counts_individuals","filtered_metadata_individuals","filtered_metadata_features","to_ignore_manually_curated","to_ignore_redundant_features","to_ignore_large_factors","final_features_removed","replicate_col"
"NERVE","GTEx","neuron",2022-05-23 18:12:15,63856,659,659,50,14640,659,659,5,"NA;alias;Alias;Broker.name;broker.name;Description;Title;ENA.checklist;ENA.FIRST.PUBLIC;ENA.LAST.UPDATE;isolate;INSDC.center.alias;sample_id;INSDC.center.name;INSDC.first.public;INSDC.last.update;INSDC.status;Sample.Name;SRA.accession;title;gtex.smrin;rownames;tcga.xml_month_of_form_completion;tcga.xml_year_of_form_completion;tcga.xml_year_of_initial_pathologic_diagnosis;tcga.xml_initial_pathologic_diagnosis_method;tcga.cgc_case_year_of_diagnosis;tcga.gdc_metadata_files.file_size.analysis;tcga.xml_breast_carcinoma_surgical_procedure_name;tcga.xml_day_of_form_completion;tcga.cgc_sample_shortest_dimension;tcga.xml_stage_event_system_version;tcga.gdc_cases.samples.portions.analytes.concentration;tcga.cgc_case_histological_diagnosis;tcga.gdc_cases.samples.portions.analytes.aliquots.concentration","gtex.smmpunrt;gtex.smmppdun","gtex.run_acc;gtex.subjid;gtex.sampid;gtex.smpthnts;gtex.smtsisch;gtex.smtspax;gtex.smnabtch;gtex.smnabtchd;gtex.smgebtch;gtex.smgebtchd;gtex.sme2mprt;gtex.smchmprs;gtex.smntrart;gtex.smmaprt;gtex.smexncrt;gtex.smgnsdtc;gtex.sme1mmrt;gtex.smsflgth;gtex.smmppd;gtex.smnterrt;gtex.smrrnanm;gtex.smrdttl;gtex.smvqcfl;gtex.smtrscpt;gtex.smmppdpr;gtex.smntrnrt;gtex.smexpeff;gtex.sme2mmrt;gtex.sme2anti;gtex.smaltalg;gtex.sme2snse;gtex.smmflgth;gtex.sme1anti;gtex.smspltrd;gtex.smbsmmrt;gtex.sme1snse;gtex.sme1pcts;gtex.smrrnart;gtex.sme1mprt;gtex.sme2pcts","gtex.sex;gtex.age;gtex.dthhrdy;gtex.smatsscr;gtex.smcenter",""
"LUNG","GTEx","lung",2022-05-23 18:12:22,63856,655,655,52,14796,655,655,6,"NA;alias;Alias;Broker.name;broker.name;Description;Title;ENA.checklist;ENA.FIRST.PUBLIC;ENA.LAST.UPDATE;isolate;INSDC.center.alias;sample_id;INSDC.center.name;INSDC.first.public;INSDC.last.update;INSDC.status;Sample.Name;SRA.accession;title;gtex.smrin;rownames;tcga.xml_month_of_form_completion;tcga.xml_year_of_form_completion;tcga.xml_year_of_initial_pathologic_diagnosis;tcga.xml_initial_pathologic_diagnosis_method;tcga.cgc_case_year_of_diagnosis;tcga.gdc_metadata_files.file_size.analysis;tcga.xml_breast_carcinoma_surgical_procedure_name;tcga.xml_day_of_form_completion;tcga.cgc_sample_shortest_dimension;tcga.xml_stage_event_system_version;tcga.gdc_cases.samples.portions.analytes.concentration;tcga.cgc_case_histological_diagnosis;tcga.gdc_cases.samples.portions.analytes.aliquots.concentration","gtex.smmpunrt;gtex.smmppdun","gtex.run_acc;gtex.subjid;gtex.sampid;gtex.smpthnts;gtex.smtsisch;gtex.smtspax;gtex.smnabtch;gtex.smnabtchd;gtex.smgebtch;gtex.smgebtchd;gtex.sme2mprt;gtex.smchmprs;gtex.smntrart;gtex.smmaprt;gtex.smexncrt;gtex.smgnsdtc;gtex.sme1mmrt;gtex.smsflgth;gtex.smmppd;gtex.smnterrt;gtex.smrrnanm;gtex.smrdttl;gtex.smvqcfl;gtex.smtrscpt;gtex.smmppdpr;gtex.smntrnrt;gtex.smexpeff;gtex.sme2mmrt;gtex.sme2anti;gtex.smaltalg;gtex.sme2snse;gtex.smmflgth;gtex.sme1anti;gtex.smspltrd;gtex.smbsmmrt;gtex.sme1snse;gtex.sme1pcts;gtex.smrrnart;gtex.sme1mprt;gtex.sme2pcts","gtex.sex;gtex.age;gtex.dthhrdy;gtex.smatsscr;gtex.smcenter;gtex.smnabtcht",""
"BREAST","GTEx","breast",2022-05-23 18:12:28,63856,482,482,50,14640,482,482,5,"NA;alias;Alias;Broker.name;broker.name;Description;Title;ENA.checklist;ENA.FIRST.PUBLIC;ENA.LAST.UPDATE;isolate;INSDC.center.alias;sample_id;INSDC.center.name;INSDC.first.public;INSDC.last.update;INSDC.status;Sample.Name;SRA.accession;title;gtex.smrin;rownames;tcga.xml_month_of_form_completion;tcga.xml_year_of_form_completion;tcga.xml_year_of_initial_pathologic_diagnosis;tcga.xml_initial_pathologic_diagnosis_method;tcga.cgc_case_year_of_diagnosis;tcga.gdc_metadata_files.file_size.analysis;tcga.xml_breast_carcinoma_surgical_procedure_name;tcga.xml_day_of_form_completion;tcga.cgc_sample_shortest_dimension;tcga.xml_stage_event_system_version;tcga.gdc_cases.samples.portions.analytes.concentration;tcga.cgc_case_histological_diagnosis;tcga.gdc_cases.samples.portions.analytes.aliquots.concentration","gtex.smmpunrt;gtex.smmppdun","gtex.run_acc;gtex.subjid;gtex.sampid;gtex.smpthnts;gtex.smtsisch;gtex.smtspax;gtex.smnabtch;gtex.smnabtchd;gtex.smgebtch;gtex.smgebtchd;gtex.sme2mprt;gtex.smchmprs;gtex.smntrart;gtex.smmaprt;gtex.smexncrt;gtex.smgnsdtc;gtex.sme1mmrt;gtex.smsflgth;gtex.smmppd;gtex.smnterrt;gtex.smrrnanm;gtex.smrdttl;gtex.smvqcfl;gtex.smtrscpt;gtex.smmppdpr;gtex.smntrnrt;gtex.smexpeff;gtex.sme2mmrt;gtex.sme2anti;gtex.smaltalg;gtex.sme2snse;gtex.smmflgth;gtex.sme1anti;gtex.smspltrd;gtex.smbsmmrt;gtex.sme1snse;gtex.sme1pcts;gtex.smrrnart;gtex.sme1mprt;gtex.sme2pcts","gtex.sex;gtex.age;gtex.dthhrdy;gtex.smatsscr;gtex.smcenter",""
"TESTIS","GTEx","testis",2022-05-23 18:12:33,63856,410,410,50,17631,410,410,4,"NA;alias;Alias;Broker.name;broker.name;Description;Title;ENA.checklist;ENA.FIRST.PUBLIC;ENA.LAST.UPDATE;isolate;INSDC.center.alias;sample_id;INSDC.center.name;INSDC.first.public;INSDC.last.update;INSDC.status;Sample.Name;SRA.accession;title;gtex.smrin;rownames;tcga.xml_month_of_form_completion;tcga.xml_year_of_form_completion;tcga.xml_year_of_initial_pathologic_diagnosis;tcga.xml_initial_pathologic_diagnosis_method;tcga.cgc_case_year_of_diagnosis;tcga.gdc_metadata_files.file_size.analysis;tcga.xml_breast_carcinoma_surgical_procedure_name;tcga.xml_day_of_form_completion;tcga.cgc_sample_shortest_dimension;tcga.xml_stage_event_system_version;tcga.gdc_cases.samples.portions.analytes.concentration;tcga.cgc_case_histological_diagnosis;tcga.gdc_cases.samples.portions.analytes.aliquots.concentration","gtex.smmpunrt;gtex.smmppdun","gtex.run_acc;gtex.subjid;gtex.sampid;gtex.smpthnts;gtex.smtsisch;gtex.smtspax;gtex.smnabtch;gtex.smnabtchd;gtex.smgebtch;gtex.smgebtchd;gtex.sme2mprt;gtex.smchmprs;gtex.smntrart;gtex.smmaprt;gtex.smexncrt;gtex.smgnsdtc;gtex.sme1mmrt;gtex.smsflgth;gtex.smmppd;gtex.smnterrt;gtex.smrrnanm;gtex.smrdttl;gtex.smvqcfl;gtex.smtrscpt;gtex.smmppdpr;gtex.smntrnrt;gtex.smexpeff;gtex.sme2mmrt;gtex.sme2anti;gtex.smaltalg;gtex.sme2snse;gtex.smmflgth;gtex.sme1anti;gtex.smspltrd;gtex.smbsmmrt;gtex.sme1snse;gtex.sme1pcts;gtex.smrrnart;gtex.sme1mprt;gtex.sme2pcts","gtex.age;gtex.dthhrdy;gtex.smatsscr;gtex.smcenter",""
"STOMACH","GTEx","stomach",2022-05-23 18:12:38,63856,384,384,50,13812,384,384,4,"NA;alias;Alias;Broker.name;broker.name;Description;Title;ENA.checklist;ENA.FIRST.PUBLIC;ENA.LAST.UPDATE;isolate;INSDC.center.alias;sample_id;INSDC.center.name;INSDC.first.public;INSDC.last.update;INSDC.status;Sample.Name;SRA.accession;title;gtex.smrin;rownames;tcga.xml_month_of_form_completion;tcga.xml_year_of_form_completion;tcga.xml_year_of_initial_pathologic_diagnosis;tcga.xml_initial_pathologic_diagnosis_method;tcga.cgc_case_year_of_diagnosis;tcga.gdc_metadata_files.file_size.analysis;tcga.xml_breast_carcinoma_surgical_procedure_name;tcga.xml_day_of_form_completion;tcga.cgc_sample_shortest_dimension;tcga.xml_stage_event_system_version;tcga.gdc_cases.samples.portions.analytes.concentration;tcga.cgc_case_histological_diagnosis;tcga.gdc_cases.samples.portions.analytes.aliquots.concentration","gtex.smmpunrt;gtex.smmppdun","gtex.run_acc;gtex.subjid;gtex.sampid;gtex.smpthnts;gtex.smtsisch;gtex.smtspax;gtex.smnabtch;gtex.smnabtchd;gtex.smgebtch;gtex.smgebtchd;gtex.sme2mprt;gtex.smchmprs;gtex.smntrart;gtex.smmaprt;gtex.smexncrt;gtex.smgnsdtc;gtex.sme1mmrt;gtex.smsflgth;gtex.smmppd;gtex.smnterrt;gtex.smrrnanm;gtex.smrdttl;gtex.smvqcfl;gtex.smtrscpt;gtex.smmppdpr;gtex.smntrnrt;gtex.smexpeff;gtex.sme2mmrt;gtex.sme2anti;gtex.smaltalg;gtex.sme2snse;gtex.smmflgth;gtex.sme1anti;gtex.smspltrd;gtex.smbsmmrt;gtex.sme1snse;gtex.sme1pcts;gtex.smrrnart;gtex.sme1mprt;gtex.sme2pcts","gtex.sex;gtex.age;gtex.smatsscr;gtex.smnabtcht",""
"ADRENAL_GLAND","GTEx","adrenal",2022-05-23 18:12:42,63856,274,274,50,13697,274,274,5,"NA;alias;Alias;Broker.name;broker.name;Description;Title;ENA.checklist;ENA.FIRST.PUBLIC;ENA.LAST.UPDATE;isolate;INSDC.center.alias;sample_id;INSDC.center.name;INSDC.first.public;INSDC.last.update;INSDC.status;Sample.Name;SRA.accession;title;gtex.smrin;rownames;tcga.xml_month_of_form_completion;tcga.xml_year_of_form_completion;tcga.xml_year_of_initial_pathologic_diagnosis;tcga.xml_initial_pathologic_diagnosis_method;tcga.cgc_case_year_of_diagnosis;tcga.gdc_metadata_files.file_size.analysis;tcga.xml_breast_carcinoma_surgical_procedure_name;tcga.xml_day_of_form_completion;tcga.cgc_sample_shortest_dimension;tcga.xml_stage_event_system_version;tcga.gdc_cases.samples.portions.analytes.concentration;tcga.cgc_case_histological_diagnosis;tcga.gdc_cases.samples.portions.analytes.aliquots.concentration","gtex.smmpunrt;gtex.smmppdun","gtex.run_acc;gtex.subjid;gtex.sampid;gtex.smpthnts;gtex.smtsisch;gtex.smtspax;gtex.smnabtch;gtex.smnabtchd;gtex.smgebtch;gtex.smgebtchd;gtex.sme2mprt;gtex.smchmprs;gtex.smntrart;gtex.smmaprt;gtex.smexncrt;gtex.smgnsdtc;gtex.sme1mmrt;gtex.smsflgth;gtex.smmppd;gtex.smnterrt;gtex.smrrnanm;gtex.smrdttl;gtex.smvqcfl;gtex.smtrscpt;gtex.smmppdpr;gtex.smntrnrt;gtex.smexpeff;gtex.sme2mmrt;gtex.sme2anti;gtex.smaltalg;gtex.sme2snse;gtex.smmflgth;gtex.sme1anti;gtex.smspltrd;gtex.smbsmmrt;gtex.sme1snse;gtex.sme1pcts;gtex.smrrnart;gtex.sme1mprt;gtex.sme2pcts","gtex.sex;gtex.age;gtex.dthhrdy;gtex.smatsscr;gtex.smnabtcht",""
"PITUITARY","GTEx","pituitary",2022-05-23 18:12:45,63856,301,301,50,15346,301,301,5,"NA;alias;Alias;Broker.name;broker.name;Description;Title;ENA.checklist;ENA.FIRST.PUBLIC;ENA.LAST.UPDATE;isolate;INSDC.center.alias;sample_id;INSDC.center.name;INSDC.first.public;INSDC.last.update;INSDC.status;Sample.Name;SRA.accession;title;gtex.smrin;rownames;tcga.xml_month_of_form_completion;tcga.xml_year_of_form_completion;tcga.xml_year_of_initial_pathologic_diagnosis;tcga.xml_initial_pathologic_diagnosis_method;tcga.cgc_case_year_of_diagnosis;tcga.gdc_metadata_files.file_size.analysis;tcga.xml_breast_carcinoma_surgical_procedure_name;tcga.xml_day_of_form_completion;tcga.cgc_sample_shortest_dimension;tcga.xml_stage_event_system_version;tcga.gdc_cases.samples.portions.analytes.concentration;tcga.cgc_case_histological_diagnosis;tcga.gdc_cases.samples.portions.analytes.aliquots.concentration","gtex.sampid;gtex.smmpunrt;gtex.smmppdun","gtex.run_acc;gtex.subjid;gtex.smpthnts;gtex.smtsisch;gtex.smtspax;gtex.smnabtch;gtex.smnabtchd;gtex.smgebtch;gtex.smgebtchd;gtex.sme2mprt;gtex.smchmprs;gtex.smntrart;gtex.smmaprt;gtex.smexncrt;gtex.smgnsdtc;gtex.sme1mmrt;gtex.smsflgth;gtex.smmppd;gtex.smnterrt;gtex.smrrnanm;gtex.smrdttl;gtex.smvqcfl;gtex.smtrscpt;gtex.smmppdpr;gtex.smntrnrt;gtex.smexpeff;gtex.sme2mmrt;gtex.sme2anti;gtex.smaltalg;gtex.sme2snse;gtex.smmflgth;gtex.sme1anti;gtex.smspltrd;gtex.smbsmmrt;gtex.sme1snse;gtex.sme1pcts;gtex.smrrnart;gtex.sme1mprt;gtex.sme2pcts","gtex.sex;gtex.age;gtex.dthhrdy;gtex.smatsscr;gtex.smcenter",""
"PROSTATE","GTEx","prostate",2022-05-23 18:12:49,63856,263,263,49,15130,263,263,4,"NA;alias;Alias;Broker.name;broker.name;Description;Title;ENA.checklist;ENA.FIRST.PUBLIC;ENA.LAST.UPDATE;isolate;INSDC.center.alias;sample_id;INSDC.center.name;INSDC.first.public;INSDC.last.update;INSDC.status;Sample.Name;SRA.accession;title;gtex.smrin;rownames;tcga.xml_month_of_form_completion;tcga.xml_year_of_form_completion;tcga.xml_year_of_initial_pathologic_diagnosis;tcga.xml_initial_pathologic_diagnosis_method;tcga.cgc_case_year_of_diagnosis;tcga.gdc_metadata_files.file_size.analysis;tcga.xml_breast_carcinoma_surgical_procedure_name;tcga.xml_day_of_form_completion;tcga.cgc_sample_shortest_dimension;tcga.xml_stage_event_system_version;tcga.gdc_cases.samples.portions.analytes.concentration;tcga.cgc_case_histological_diagnosis;tcga.gdc_cases.samples.portions.analytes.aliquots.concentration","gtex.smmpunrt;gtex.smmppdun","gtex.run_acc;gtex.subjid;gtex.sampid;gtex.smpthnts;gtex.smtsisch;gtex.smtspax;gtex.smnabtch;gtex.smnabtchd;gtex.smgebtch;gtex.smgebtchd;gtex.sme2mprt;gtex.smchmprs;gtex.smntrart;gtex.smmaprt;gtex.smexncrt;gtex.smgnsdtc;gtex.sme1mmrt;gtex.smsflgth;gtex.smmppd;gtex.smnterrt;gtex.smrrnanm;gtex.smrdttl;gtex.smvqcfl;gtex.smtrscpt;gtex.smmppdpr;gtex.smntrnrt;gtex.smexpeff;gtex.sme2mmrt;gtex.sme2anti;gtex.smaltalg;gtex.sme2snse;gtex.smmflgth;gtex.sme1anti;gtex.smspltrd;gtex.smbsmmrt;gtex.sme1snse;gtex.sme1pcts;gtex.smrrnart;gtex.sme1mprt;gtex.sme2pcts","gtex.age;gtex.dthhrdy;gtex.smatsscr;gtex.smnabtcht",""
"SPLEEN","GTEx","spleen",2022-05-23 18:12:52,63856,255,255,50,14622,255,255,3,"NA;alias;Alias;Broker.name;broker.name;Description;Title;ENA.checklist;ENA.FIRST.PUBLIC;ENA.LAST.UPDATE;isolate;INSDC.center.alias;sample_id;INSDC.center.name;INSDC.first.public;INSDC.last.update;INSDC.status;Sample.Name;SRA.accession;title;gtex.smrin;rownames;tcga.xml_month_of_form_completion;tcga.xml_year_of_form_completion;tcga.xml_year_of_initial_pathologic_diagnosis;tcga.xml_initial_pathologic_diagnosis_method;tcga.cgc_case_year_of_diagnosis;tcga.gdc_metadata_files.file_size.analysis;tcga.xml_breast_carcinoma_surgical_procedure_name;tcga.xml_day_of_form_completion;tcga.cgc_sample_shortest_dimension;tcga.xml_stage_event_system_version;tcga.gdc_cases.samples.portions.analytes.concentration;tcga.cgc_case_histological_diagnosis;tcga.gdc_cases.samples.portions.analytes.aliquots.concentration","sample_id;gtex.smmpunrt;gtex.smmppdun","gtex.run_acc;gtex.subjid;gtex.sampid;gtex.smpthnts;gtex.smtsisch;gtex.smtspax;gtex.smnabtch;gtex.smnabtchd;gtex.smgebtch;gtex.smgebtchd;gtex.sme2mprt;gtex.smchmprs;gtex.smntrart;gtex.smmaprt;gtex.smexncrt;gtex.smgnsdtc;gtex.sme1mmrt;gtex.smsflgth;gtex.smmppd;gtex.smnterrt;gtex.smrrnanm;gtex.smrdttl;gtex.smvqcfl;gtex.smtrscpt;gtex.smmppdpr;gtex.smntrnrt;gtex.smexpeff;gtex.sme2mmrt;gtex.sme2anti;gtex.smaltalg;gtex.sme2snse;gtex.smmflgth;gtex.sme1anti;gtex.smspltrd;gtex.smbsmmrt;gtex.sme1snse;gtex.sme1pcts;gtex.smrrnart;gtex.sme1mprt;gtex.sme2pcts","gtex.sex;gtex.age;gtex.smatsscr",""
"LIVER","GTEx","liver",2022-05-23 18:12:56,63856,251,251,50,12058,251,251,4,"NA;alias;Alias;Broker.name;broker.name;Description;Title;ENA.checklist;ENA.FIRST.PUBLIC;ENA.LAST.UPDATE;isolate;INSDC.center.alias;sample_id;INSDC.center.name;INSDC.first.public;INSDC.last.update;INSDC.status;Sample.Name;SRA.accession;title;gtex.smrin;rownames;tcga.xml_month_of_form_completion;tcga.xml_year_of_form_completion;tcga.xml_year_of_initial_pathologic_diagnosis;tcga.xml_initial_pathologic_diagnosis_method;tcga.cgc_case_year_of_diagnosis;tcga.gdc_metadata_files.file_size.analysis;tcga.xml_breast_carcinoma_surgical_procedure_name;tcga.xml_day_of_form_completion;tcga.cgc_sample_shortest_dimension;tcga.xml_stage_event_system_version;tcga.gdc_cases.samples.portions.analytes.concentration;tcga.cgc_case_histological_diagnosis;tcga.gdc_cases.samples.portions.analytes.aliquots.concentration","gtex.smmpunrt;gtex.smmppdun","gtex.run_acc;gtex.subjid;gtex.sampid;gtex.smpthnts;gtex.smtsisch;gtex.smtspax;gtex.smnabtch;gtex.smnabtchd;gtex.smgebtch;gtex.smgebtchd;gtex.sme2mprt;gtex.smchmprs;gtex.smntrart;gtex.smmaprt;gtex.smexncrt;gtex.smgnsdtc;gtex.sme1mmrt;gtex.smsflgth;gtex.smmppd;gtex.smnterrt;gtex.smrrnanm;gtex.smrdttl;gtex.smvqcfl;gtex.smtrscpt;gtex.smmppdpr;gtex.smntrnrt;gtex.smexpeff;gtex.sme2mmrt;gtex.sme2anti;gtex.smaltalg;gtex.sme2snse;gtex.smmflgth;gtex.sme1anti;gtex.smspltrd;gtex.smbsmmrt;gtex.sme1snse;gtex.sme1pcts;gtex.smrrnart;gtex.sme1mprt;gtex.sme2pcts","gtex.sex;gtex.age;gtex.dthhrdy;gtex.smcenter",""
"PANCREAS","GTEx","pancreas",2022-05-23 18:13:02,63856,360,360,51,12296,360,360,3,"NA;alias;Alias;Broker.name;broker.name;Description;Title;ENA.checklist;ENA.FIRST.PUBLIC;ENA.LAST.UPDATE;isolate;INSDC.center.alias;sample_id;INSDC.center.name;INSDC.first.public;INSDC.last.update;INSDC.status;Sample.Name;SRA.accession;title;gtex.smrin;rownames;tcga.xml_month_of_form_completion;tcga.xml_year_of_form_completion;tcga.xml_year_of_initial_pathologic_diagnosis;tcga.xml_initial_pathologic_diagnosis_method;tcga.cgc_case_year_of_diagnosis;tcga.gdc_metadata_files.file_size.analysis;tcga.xml_breast_carcinoma_surgical_procedure_name;tcga.xml_day_of_form_completion;tcga.cgc_sample_shortest_dimension;tcga.xml_stage_event_system_version;tcga.gdc_cases.samples.portions.analytes.concentration;tcga.cgc_case_histological_diagnosis;tcga.gdc_cases.samples.portions.analytes.aliquots.concentration","gtex.smmpunrt;gtex.smmppdun","gtex.run_acc;gtex.subjid;gtex.sampid;gtex.smpthnts;gtex.smtsisch;gtex.smtspax;gtex.smnabtch;gtex.smnabtchd;gtex.smgebtch;gtex.smgebtchd;gtex.sme2mprt;gtex.smchmprs;gtex.smntrart;gtex.smmaprt;gtex.smexncrt;gtex.smgnsdtc;gtex.sme1mmrt;gtex.smsflgth;gtex.smmppd;gtex.smnterrt;gtex.smrrnanm;gtex.smrdttl;gtex.smvqcfl;gtex.smtrscpt;gtex.smmppdpr;gtex.smntrnrt;gtex.smexpeff;gtex.sme2mmrt;gtex.sme2anti;gtex.smaltalg;gtex.sme2snse;gtex.smmflgth;gtex.sme1anti;gtex.smspltrd;gtex.smbsmmrt;gtex.sme1snse;gtex.sme1pcts;gtex.smrrnart;gtex.sme1mprt;gtex.sme2pcts","gtex.sex;gtex.age;gtex.smnabtcht",""
"BONE_MARROW","GTEx","marrow",2022-05-23 18:13:05,63856,204,204,41,12669,204,204,2,"NA;alias;Alias;Broker.name;broker.name;Description;Title;ENA.checklist;ENA.FIRST.PUBLIC;ENA.LAST.UPDATE;isolate;INSDC.center.alias;sample_id;INSDC.center.name;INSDC.first.public;INSDC.last.update;INSDC.status;Sample.Name;SRA.accession;title;gtex.smrin;rownames;tcga.xml_month_of_form_completion;tcga.xml_year_of_form_completion;tcga.xml_year_of_initial_pathologic_diagnosis;tcga.xml_initial_pathologic_diagnosis_method;tcga.cgc_case_year_of_diagnosis;tcga.gdc_metadata_files.file_size.analysis;tcga.xml_breast_carcinoma_surgical_procedure_name;tcga.xml_day_of_form_completion;tcga.cgc_sample_shortest_dimension;tcga.xml_stage_event_system_version;tcga.gdc_cases.samples.portions.analytes.concentration;tcga.cgc_case_histological_diagnosis;tcga.gdc_cases.samples.portions.analytes.aliquots.concentration","sample_id;gtex.smmpunrt;gtex.smmppdun","gtex.run_acc;gtex.sampid;gtex.smgebtch;gtex.smgebtchd;gtex.sme2mprt;gtex.smchmprs;gtex.smntrart;gtex.smmaprt;gtex.smexncrt;gtex.smgnsdtc;gtex.sme1mmrt;gtex.smsflgth;gtex.smmppd;gtex.smnterrt;gtex.smrrnanm;gtex.smrdttl;gtex.smvqcfl;gtex.smtrscpt;gtex.smmppdpr;gtex.smntrnrt;gtex.smexpeff;gtex.sme2mmrt;gtex.sme2anti;gtex.smaltalg;gtex.sme2snse;gtex.smmflgth;gtex.sme1anti;gtex.smspltrd;gtex.smbsmmrt;gtex.sme1snse;gtex.sme1pcts;gtex.smrrnart;gtex.sme1mprt;gtex.sme2pcts","gtex.smnabtch;gtex.smnabtchd",""
"OVARY","GTEx","ovary",2022-05-23 18:13:08,63856,195,195,49,14308,195,195,5,"NA;alias;Alias;Broker.name;broker.name;Description;Title;ENA.checklist;ENA.FIRST.PUBLIC;ENA.LAST.UPDATE;isolate;INSDC.center.alias;sample_id;INSDC.center.name;INSDC.first.public;INSDC.last.update;INSDC.status;Sample.Name;SRA.accession;title;gtex.smrin;rownames;tcga.xml_month_of_form_completion;tcga.xml_year_of_form_completion;tcga.xml_year_of_initial_pathologic_diagnosis;tcga.xml_initial_pathologic_diagnosis_method;tcga.cgc_case_year_of_diagnosis;tcga.gdc_metadata_files.file_size.analysis;tcga.xml_breast_carcinoma_surgical_procedure_name;tcga.xml_day_of_form_completion;tcga.cgc_sample_shortest_dimension;tcga.xml_stage_event_system_version;tcga.gdc_cases.samples.portions.analytes.concentration;tcga.cgc_case_histological_diagnosis;tcga.gdc_cases.samples.portions.analytes.aliquots.concentration","gtex.smmpunrt;gtex.smmppdun","gtex.run_acc;gtex.subjid;gtex.sampid;gtex.smpthnts;gtex.smtsisch;gtex.smtspax;gtex.smnabtch;gtex.smnabtchd;gtex.smgebtch;gtex.smgebtchd;gtex.sme2mprt;gtex.smchmprs;gtex.smntrart;gtex.smmaprt;gtex.smexncrt;gtex.smgnsdtc;gtex.sme1mmrt;gtex.smsflgth;gtex.smmppd;gtex.smnterrt;gtex.smrrnanm;gtex.smrdttl;gtex.smvqcfl;gtex.smtrscpt;gtex.smmppdpr;gtex.smntrnrt;gtex.smexpeff;gtex.sme2mmrt;gtex.sme2anti;gtex.smaltalg;gtex.sme2snse;gtex.smmflgth;gtex.sme1anti;gtex.smspltrd;gtex.smbsmmrt;gtex.sme1snse;gtex.sme1pcts;gtex.smrrnart;gtex.sme1mprt;gtex.sme2pcts","gtex.age;gtex.dthhrdy;gtex.smatsscr;gtex.smcenter;gtex.smnabtcht",""
"SALIVARY_GLAND","GTEx","salivary",2022-05-23 18:13:11,63856,178,178,50,14585,178,178,3,"NA;alias;Alias;Broker.name;broker.name;Description;Title;ENA.checklist;ENA.FIRST.PUBLIC;ENA.LAST.UPDATE;isolate;INSDC.center.alias;sample_id;INSDC.center.name;INSDC.first.public;INSDC.last.update;INSDC.status;Sample.Name;SRA.accession;title;gtex.smrin;rownames;tcga.xml_month_of_form_completion;tcga.xml_year_of_form_completion;tcga.xml_year_of_initial_pathologic_diagnosis;tcga.xml_initial_pathologic_diagnosis_method;tcga.cgc_case_year_of_diagnosis;tcga.gdc_metadata_files.file_size.analysis;tcga.xml_breast_carcinoma_surgical_procedure_name;tcga.xml_day_of_form_completion;tcga.cgc_sample_shortest_dimension;tcga.xml_stage_event_system_version;tcga.gdc_cases.samples.portions.analytes.concentration;tcga.cgc_case_histological_diagnosis;tcga.gdc_cases.samples.portions.analytes.aliquots.concentration","sample_id;gtex.smmpunrt;gtex.smmppdun","gtex.run_acc;gtex.subjid;gtex.sampid;gtex.smpthnts;gtex.smtsisch;gtex.smtspax;gtex.smnabtch;gtex.smnabtchd;gtex.smgebtch;gtex.smgebtchd;gtex.sme2mprt;gtex.smchmprs;gtex.smntrart;gtex.smmaprt;gtex.smexncrt;gtex.smgnsdtc;gtex.sme1mmrt;gtex.smsflgth;gtex.smmppd;gtex.smnterrt;gtex.smrrnanm;gtex.smrdttl;gtex.smvqcfl;gtex.smtrscpt;gtex.smmppdpr;gtex.smntrnrt;gtex.smexpeff;gtex.sme2mmrt;gtex.sme2anti;gtex.smaltalg;gtex.sme2snse;gtex.smmflgth;gtex.sme1anti;gtex.smspltrd;gtex.smbsmmrt;gtex.sme1snse;gtex.sme1pcts;gtex.smrrnart;gtex.sme1mprt;gtex.sme2pcts","gtex.sex;gtex.age;gtex.dthhrdy",""
