GeneID	chr	start	end	labelCoord	FayWu_H	Fst	FuLi_D	FuLi_F	iHS	Tajima_D	label	stat	pops	source
AGBL4	chr1	50487835	50497835	chr1:50487835-50497835	0.583	0.024	-6.627	-5.873	1.642	-2.396	FuLi_D:GIH:-6.627,FuLi_F:GIH:-5.873	FuLi_D,FuLi_F	GIH	PopHumanScan
C1orf185	chr1	51599043	51609043	chr1:51599043-51609043	-1.82	0.03	-6.711	-5.571	0.993	-2.561	FuLi_F:GBR:-5.571	FuLi_F	GBR	PopHumanScan
nonCoding998	chr1	51671285	51681285	chr1:51671285-51681285	-1.884	0.049	-7.854	-6.746	1.486	-2.564	FuLi_D:BEB:-7.854,FuLi_F:BEB:-6.746	FuLi_D,FuLi_F	BEB	PopHumanScan
EPS15	chr1	51833457	51866912	chr1:51833457-51866912	-5.077	0.03	-7.047	-6.245	1.513	-2.502	FuLi_D:JPT:-7.047,FuLi_F:JPT:-6.245	FuLi_D,FuLi_F	JPT	PopHumanScan
EPS15	chr1	51882548	51892548	chr1:51882548-51892548	-1.712	0.023	-6.951	-5.891	2.296	-2.475	FuLi_F:JPT:-5.891	FuLi_F	JPT	PopHumanScan
EPS15	chr1	51912548	51922548	chr1:51912548-51922548	-4.509	0.032	-6.723	-5.866	2.153	-2.318	FuLi_D:JPT:-6.723,FuLi_F:JPT:-5.866	FuLi_D,FuLi_F	JPT	PopHumanScan
OSBPL9	chr1	52154157	52164157	chr1:52154157-52164157	-1.688	0.025	-6.953	-6.139	1.392	-2.528	FuLi_F:BEB:-6.139	FuLi_F	BEB	PopHumanScan
OSBPL9	chr1	52178031	52188031	chr1:52178031-52188031	-0.585	0.02	-7.137	-5.982	1.339	-2.449	FuLi_D:ACB:-7.137,FuLi_F:ACB:-5.982	FuLi_D,FuLi_F	ACB	PopHumanScan
RAB3B	chr1	52378387	52398387	chr1:52378387-52398387	-3.806	0.051	-6.174	-4.979	1.294	-2.188	FuLi_D:GWD:-6.174	FuLi_D	GWD	PopHumanScan
CC2D1B	chr1	52817601	52827601	chr1:52817601-52827601	-1.435	0.049	-7.712	-6.51	2.009	-2.384	FuLi_D:ASW:-5.599,TSI:-7.712,FuLi_F:TSI:-6.51	FuLi_D,FuLi_F	ASW,TSI	PopHumanScan
SCP2	chr1	53479618	53499618	chr1:53479618-53499618	-5.55	0.121	2.3	2.162	1.414	3.05	FuLi_D:BEB:2.3	FuLi_D	BEB	PopHumanScan
GLIS1	chr1	54063038	54073038	chr1:54063038-54073038	-5.565	0.259	-3.249	-2.947	1.911	3.176	Fst:CEU2YRI:0.259	Fst	CEU2YRI	PopHumanScan
OMA1,DAB1	chr1	58995694	59022261	chr1:58995694-59022261	-4.871	0.212	2.272	-4.541	1.493	3.488	FuLi_D:ACB:2.272	FuLi_D	ACB	PopHumanScan
nonCoding1149	chr1	59379450	59389450	chr1:59379450-59389450	-3.917	0.043	-5.789	-4.756	1.527	-2.086	FuLi_D:FIN:-5.789	FuLi_D	FIN	PopHumanScan
FGGY	chr1	60129245	60139245	chr1:60129245-60139245	-1.044	0.019	-5.616	-4.907	1.553	-2.436	FuLi_D:ESN:-5.616,FuLi_F:ESN:-4.907	FuLi_D,FuLi_F	ESN	PopHumanScan
nonCoding1279	chr1	63420023	63430023	chr1:63420023-63430023	-1.461	0.055	-7.824	-6.399	1.167	-2.164	FuLi_D:IBS:-7.824,FuLi_F:IBS:-6.399	FuLi_D,FuLi_F	IBS	PopHumanScan
ROR1	chr1	64344304	64364304	chr1:64344304-64364304	-4.95	0.146	-6.038	-5.521	1.867	-2.654	Tajima_D:CHS:-2.654	Tajima_D	CHS	PopHumanScan
DNAJC6	chr1	65834499	65844499	chr1:65834499-65844499	-3.551	0.231	-1.742	2.178	1.336	2.968	Fst:CEU2YRI:0.231	Fst	CEU2YRI	PopHumanScan
nonCoding1340	chr1	66089442	66158539	chr1:66089442-66158539	-1.172	0.137	-3.691	-2.926	4.251	1.667	iHS:LWK:4.251	iHS	LWK	PopHumanScan
MIER1	chr1	67411010	67457983	chr1:67411010-67457983	-1.639	0.055	-3.83	-3.516	3.671	-1.841	iHS:ESN:3.568,MSL:3.671	iHS	ESN,MSL	PopHumanScan
nonCoding1394	chr1	68500542	68510542	chr1:68500542-68510542	-5.998	0.107	-6.132	-5.634	1.453	-2.624	Tajima_D:ITU:-2.624	Tajima_D	ITU	PopHumanScan
nonCoding1474	chr1	69861334	69871334	chr1:69861334-69871334	-7.475	0.173	-4.33	-2.956	0.798	2.255	FayWu_H:CDX:-7.475	FayWu_H	CDX	PopHumanScan
LRRC7	chr1	70054608	70064608	chr1:70054608-70064608	-2.363	0.065	2.111	-4.298	1.291	-1.643	FuLi_D:GWD:2.111	FuLi_D	GWD	PopHumanScan
LRRC7	chr1	70116302	70126302	chr1:70116302-70126302	-0.847	0.051	2.089	1.663	1.606	0.916	FuLi_D:CHB:2.089	FuLi_D	CHB	PopHumanScan
SRSF11	chr1	70690610	70700610	chr1:70690610-70700610	-0.877	0.024	-7.356	-6.348	1.499	-2.408	FuLi_F:IBS:-6.348	FuLi_F	IBS	PopHumanScan
PTGER3	chr1	71441386	71451386	chr1:71441386-71451386	-0.738	0.045	2.127	2.482	0.834	1.977	FuLi_D:TSI:2.127	FuLi_D	TSI	PopHumanScan
nonCoding1563	chr1	73109533	73119533	chr1:73109533-73119533	-1.919	0.13	-6.756	-5.556	2.207	-2	FuLi_D:PJL:-6.756	FuLi_D	PJL	PopHumanScan
nonCoding1575	chr1	73280890	73304079	chr1:73280890-73304079	-1.533	0.075	-5.479	-4.51	1.068	-1.713	FuLi_D:MSL:-5.479	FuLi_D	MSL	PopHumanScan
nonCoding1585	chr1	73436152	73446152	chr1:73436152-73446152	-5.347	0.05	-4.073	-3.763	2.024	-2.225	FayWu_H:ACB:-5.023,ESN:-5.024,LWK:-5.347,MSL:-4.933	FayWu_H	ACB,ESN,LWK,MSL	PopHumanScan
nonCoding1592,nonCoding1593,nonCoding1594	chr1	73525354	73578265	chr1:73525354-73578265	-1.75	0.16	-3.605	3.373	3.566	3.974	iHS:CDX:3.566	iHS	CDX	PopHumanScan
LRRIQ3	chr1	74619957	74639957	chr1:74619957-74639957	-1.189	0.026	-5.607	-5.08	1.371	-2.301	FuLi_D:ASW:-5.607,FuLi_F:ASW:-5.08	FuLi_D,FuLi_F	ASW	PopHumanScan
nonCoding1678	chr1	75427399	75447399	chr1:75427399-75447399	-1.195	0.081	-4.098	-3.385	1.503	-1.587	XPEHH:CEU2CHB:1.733	XPEHH	CEU2CHB	PopHumanScan
SLC44A5	chr1	75692954	75702954	chr1:75692954-75702954	-8.195	0.11	-2.044	-1.351	1.871	-2.354	FayWu_H:CDX:-7.825,CHS:-8.195,JPT:-7.745	FayWu_H	CDX,CHS,JPT	PopHumanScan
ST6GALNAC3	chr1	76621308	76631308	chr1:76621308-76631308	-3.954	0.083	1.936	-2.521	2.867	-1.693	FuLi_D:ASW:1.936	FuLi_D	ASW	PopHumanScan
PTGFR	chr1	78797115	78807115	chr1:78797115-78807115	1.148	0.054	2.452	2.247	1.322	1.322	FuLi_D:GIH:2.452	FuLi_D	GIH	PopHumanScan
nonCoding1813	chr1	80286650	80296650	chr1:80286650-80296650	-2.043	0.097	2.57	3.033	0.949	3.465	FuLi_D:CDX:2.57	FuLi_D	CDX	PopHumanScan
nonCoding1850	chr1	80912582	80922582	chr1:80912582-80922582	-3.259	0.057	-6.401	-5.564	1.089	-2.249	FuLi_D:PJL:-6.401	FuLi_D	PJL	PopHumanScan
nonCoding1932	chr1	82751777	82761777	chr1:82751777-82761777	-3.33	0.024	-7.186	-6.035	1.25	-2.275	FuLi_D:BEB:-7.186	FuLi_D	BEB	PopHumanScan
nonCoding1960	chr1	83139303	83149303	chr1:83139303-83149303	-0.854	0.028	2.39	2.935	1.51	3.321	FuLi_D:YRI:2.39	FuLi_D	YRI	PopHumanScan
nonCoding1962	chr1	83159908	83169908	chr1:83159908-83169908	0.473	0.024	2.017	2.96	1.69	3.536	FuLi_D:ACB:2.017	FuLi_D	ACB	PopHumanScan
nonCoding2152,nonCoding2151	chr1	88527159	88547159	chr1:88527159-88547159	-5.621	0.04	-5.704	-5.097	1.554	-2.516	FayWu_H:ACB:-5.351,GWD:-5.607,LWK:-5.308,YRI:-5.621,FuLi_D:LWK:-5.704,FuLi_F:LWK:-5.097,Tajima_D:ACB:-2.459,GWD:-2.507,LWK:-2.443,YRI:-2.516	FayWu_H,FuLi_D,FuLi_F,Tajima_D	ACB,GWD,LWK,YRI	PopHumanScan
nonCoding2166	chr1	88717729	88727729	chr1:88717729-88727729	-1.204	0.068	-7.003	-5.725	1.049	-2.117	FuLi_D:GWD:-7.003,LWK:-5.94,FuLi_F:GWD:-5.725,LWK:-5.093	FuLi_D,FuLi_F	GWD,LWK	PopHumanScan
PKN2	chr1	89211334	89221334	chr1:89211334-89221334	-1.468	0.062	-7.262	-5.782	1.973	-2.603	FuLi_F:STU:-5.782	FuLi_F	STU	PopHumanScan
nonCoding2217	chr1	89795532	89815532	chr1:89795532-89815532	7.887	0.056	-1.245	19.513	1.273	52.748	FuLi_F:ACB:19.109,ASW:18.421,CEU:18.013,CHB:15.103,CHS:15.434,ESN:18.299,GBR:17.59,GIH:17.207,GWD:19.513,IBS:17.427,ITU:18.207,JPT:16.4,KHV:14.887,LWK:18.918,MSL:19.027,PJL:17.535,STU:17.668,TSI:18.574,Tajima_D:ACB:51.752,ASW:52.031,BEB:32.623,CEU:48.668,CHB:40.469,CHS:41.44,ESN:49.696,GBR:47.76,GIH:46.394,GWD:52.748,IBS:46.734,ITU:49.442,JPT:44.075,KHV:39.958,LWK:51.768,MSL:52.112,PJL:48.297,STU:48.672,TSI:49.95	FuLi_F,Tajima_D	ACB,ASW,CEU,CHB,CHS,ESN,GBR,GIH,GWD,IBS,ITU,JPT,KHV,LWK,MSL,PJL,STU,TSI,BEB	PopHumanScan
KIAA1107,AC104836.1	chr1	92633896	92672201	chr1:92633896-92672201	-2.752	0.07	-8.096	-6.905	1.537	-2.592	FuLi_D:CHB:-8.096,FuLi_F:CHB:-6.905	FuLi_D,FuLi_F	CHB	PopHumanScan
GLMN	chr1	92736782	92746782	chr1:92736782-92746782	-3.008	0.051	-7.456	-6.496	1.331	-2.574	FuLi_F:CHB:-6.496	FuLi_F	CHB	PopHumanScan
RPAP2	chr1	92788811	92859269	chr1:92788811-92859269	-1.809	0.056	-8.389	-7.206	1.238	-2.403	FuLi_D:CHB:-8.389,FuLi_F:CHB:-7.206	FuLi_D,FuLi_F	CHB	PopHumanScan
EVI5	chr1	93151999	93161999	chr1:93151999-93161999	-5.066	0.06	-3.278	-2.636	2.196	-2.302	XPEHH:YRI2CHB:2.5	XPEHH	YRI2CHB	PopHumanScan
BCAR3	chr1	94121330	94157443	chr1:94121330-94157443	-3.715	0.058	-5.378	-4.893	3.172	-2.218	iHS:GIH:3.172	iHS	GIH	PopHumanScan
DPYD	chr1	98065436	98075436	chr1:98065436-98075436	-3.137	0.037	-7.762	-6.653	1.638	-2.436	FuLi_D:CHB:-7.762,FuLi_F:CHB:-6.653	FuLi_D,FuLi_F	CHB	PopHumanScan
FRRS1	chr1	100210525	100230525	chr1:100210525-100230525	-4.148	0.242	-1.897	2.606	1.638	3.533	Fst:CEU2YRI:0.242	Fst	CEU2YRI	PopHumanScan
SLC30A7	chr1	101362873	101372873	chr1:101362873-101372873	-1.052	0.034	-7.997	-6.935	2.039	-2.364	Tajima_D:ESN:-2.364	Tajima_D	ESN	PopHumanScan
nonCoding2733	chr1	102752094	102772094	chr1:102752094-102772094	-5.366	0.078	-4.784	-4.197	3.559	-2.038	iHS:ESN:3.559,GWD:3.523	iHS	ESN,GWD	PopHumanScan
nonCoding2780	chr1	104008700	104018700	chr1:104008700-104018700	-2.82	0.046	-6.311	-5.012	0	-2.218	FuLi_F:YRI:-5.012	FuLi_F	YRI	PopHumanScan
nonCoding2806	chr1	104658077	104668077	chr1:104658077-104668077	-6.933	0.07	-6.18	-5.537	1.833	-2.757	Tajima_D:FIN:-2.643,KHV:-2.757	Tajima_D	FIN,KHV	PopHumanScan
nonCoding2825	chr1	104918288	104928288	chr1:104918288-104928288	8.905	0.039	-2.216	33.297	1.187	91.991	FuLi_F:ACB:32.044,ASW:25.618,ESN:27.123,GWD:28.994,LWK:28.292,MSL:33.297,TSI:24.653,YRI:31.56,Tajima_D:ACB:87.477,ASW:72.815,ESN:80.095,GWD:78.869,LWK:77.943,MSL:91.991,TSI:72.568,YRI:85.447	FuLi_F,Tajima_D	ACB,ASW,ESN,GWD,LWK,MSL,TSI,YRI	PopHumanScan
nonCoding2828	chr1	104962750	104972750	chr1:104962750-104972750	11.631	0.033	-3.117	13.455	1.347	31.52	FuLi_F:CEU:13.455,CHB:12.718,FIN:13.24	FuLi_F	CEU,CHB,FIN	PopHumanScan
nonCoding2891	chr1	106122658	106132658	chr1:106122658-106132658	-2.749	0.218	2.393	3.695	1.038	4.263	FuLi_D:GBR:2.393,TSI:2.284	FuLi_D	GBR,TSI	PopHumanScan
NTNG1	chr1	107734617	107764617	chr1:107734617-107764617	-9.425	0.064	-5.791	-5.383	2.028	-2.711	FayWu_H:JPT:-9.425,KHV:-7.278,Tajima_D:CHB:-2.711	FayWu_H,Tajima_D	JPT,KHV,CHB	PopHumanScan
NTNG1	chr1	107872509	107882509	chr1:107872509-107882509	-4.403	0.089	-3.226	-2.612	3.207	1.71	iHS:ITU:3.207	iHS	ITU	PopHumanScan
VAV3	chr1	108238726	108248726	chr1:108238726-108248726	-1.671	0.076	2.298	2.932	1.416	3.076	FuLi_D:CEU:2.298	FuLi_D	CEU	PopHumanScan
nonCoding3005	chr1	108604987	108614987	chr1:108604987-108614987	-2.04	0.099	2.358	2.646	1.198	2.015	FuLi_D:JPT:2.358	FuLi_D	JPT	PopHumanScan
SYPL2	chr1	110009994	110019994	chr1:110009994-110019994	-8.083	0.19	-2.73	-2.751	1.377	-2.53	FayWu_H:CHB:-7.343,JPT:-8.083	FayWu_H	CHB,JPT	PopHumanScan
nonCoding3032	chr1	110505159	110525159	chr1:110505159-110525159	-3.391	0.06	-6.935	-6.06	1.866	-2.54	FuLi_D:GBR:-6.935,FuLi_F:GBR:-6.06	FuLi_D,FuLi_F	GBR	PopHumanScan
LAMTOR5	chr1	110939261	110949261	chr1:110939261-110949261	0.751	0.056	-6.418	-4.968	1.534	-1.468	FuLi_D:ACB:-6.418	FuLi_D	ACB	PopHumanScan
nonCoding3095	chr1	112657880	112667880	chr1:112657880-112667880	-1.781	0.091	2.003	2.686	1.81	3.221	FuLi_D:ASW:2.003	FuLi_D	ASW	PopHumanScan
CAPZA1,ST7L	chr1	113081540	113238321	chr1:113081540-113238321	-3.032	0.038	-5.631	-4.297	4.2	1.99	iHS:BEB:3.583,CDX:3.336,CHB:4.2,CHS:3.695,FIN:3.848,ITU:3.166,JPT:3.704,KHV:3.535,STU:3.412,TSI:3.152	iHS	BEB,CDX,CHB,CHS,FIN,ITU,JPT,KHV,STU,TSI	PopHumanScan
RSBN1,PHTF1	chr1	114301628	114311628	chr1:114301628-114311628	-1.025	0.058	-5.874	-5.05	2.114	-2.183	FuLi_D:LWK:-5.874,FuLi_F:LWK:-5.05	FuLi_D,FuLi_F	LWK	PopHumanScan
SYT6	chr1	114667606	114677606	chr1:114667606-114677606	-1.588	0.053	2.151	1.795	0.904	1.986	FuLi_D:LWK:2.151	FuLi_D	LWK	PopHumanScan
CASQ2	chr1	116279618	116289618	chr1:116279618-116289618	-3.042	0.272	1.818	2.792	1.636	3.64	Fst:CEU2YRI:0.272	Fst	CEU2YRI	PopHumanScan
