ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0071466,cellular response to xenobiotic stimulus,12/565,85/10364,0.0021004123580094032,0.01125925952694942,0.007413921180808234,GSTM1/GSTM3/FMO2/NQO1/CYP4F12/CYP1B1/CYP26B1/AOX1/UCHL1/EDN1/ABCA1/RORC,12
GO:0032990,cell part morphogenesis,37/565,415/10364,0.0021011417387858714,0.01125925952694942,0.007413921180808234,MFSD2A/NES/CXCL12/EGR2/MDK/THY1/DCLK1/POSTN/FLRT2/NTN1/NGFR/SEMA6B/NOTCH3/APOE/NR4A2/FN1/ID1/S100B/CHL1/SEMA3G/SLIT2/UCHL1/SPP1/MAP1B/SLIT3/TUBB2B/CPNE5/VEGFA/LAMA2/SGK1/ADCY1/SEMA3C/RELN/PLXNA4/PTN/ENPP2/NTRK2,37
GO:0010867,positive regulation of triglyceride biosynthetic process,4/565,11/10364,0.002120081880212118,0.011301582314568244,0.007441789604198511,MFSD2A/DGAT2/PLIN5/LDLR,4
GO:0045591,positive regulation of regulatory T cell differentiation,4/565,11/10364,0.002120081880212118,0.011301582314568244,0.007441789604198511,LILRB2/BCL6/HLA-G/HLA-DRB1,4
GO:0060192,negative regulation of lipase activity,4/565,11/10364,0.002120081880212118,0.011301582314568244,0.007441789604198511,RGS2/PLIN5/ANGPTL4/APOC1,4
GO:0071294,cellular response to zinc ion,4/565,11/10364,0.002120081880212118,0.011301582314568244,0.007441789604198511,MT2A/MT1E/MT1M/MT1X,4
GO:1902532,negative regulation of intracellular signal transduction,36/565,401/10364,0.0021357696757280083,0.011370404489506457,0.007487107165203517,GBP1/MUC1/PTGS2/RGS2/ATF3/AGT/CXCL12/DDIT4/DUSP5/CREB3L1/APLNR/LMO3/THBS1/APOE/EMILIN1/DUSP2/SERPINE2/ACKR3/LIF/TIMP3/FBLN1/BCL6/SLIT2/UCHL1/SFRP2/DUSP1/HLA-G/HSPA1A/GPER1/HSPB1/CLU/DUSP4/SFRP1/CCN3/KLF4/CD22,36
GO:1990138,neuron projection extension,15/565,120/10364,0.0021665581694319974,0.011519336552798179,0.007585174944518585,CXCL12/DCLK1/POSTN/NTN1/SEMA6B/APOE/FN1/SEMA3G/SLIT2/MAP1B/SLIT3/CPNE5/VEGFA/SEMA3C/PLXNA4,15
GO:0090092,regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,18/565,157/10364,0.002211621591140328,0.011743681963850198,0.007732900395809107,CCN1/CDKN1C/THBS1/FBN1/LRG1/GDF15/EMILIN1/LTBP1/INHBB/HTRA3/SFRP2/HSPA1A/PEG10/SFRP1/SULF1/CCN3/CHRDL1/GPC3,18
GO:0014829,vascular associated smooth muscle contraction,5/565,18/10364,0.002238975375742285,0.01181232627356819,0.007778100837325004,AGT/ACTA2/P2RX1/CD38/EDN1,5
GO:0033688,regulation of osteoblast proliferation,5/565,18/10364,0.002238975375742285,0.01181232627356819,0.007778100837325004,CCN1/TMEM119/LTF/NPR3/SFRP1,5
GO:0055090,acylglycerol homeostasis,5/565,18/10364,0.002238975375742285,0.01181232627356819,0.007778100837325004,DGAT2/ANGPTL4/APOE/MLXIPL/LPL,5
GO:0070328,triglyceride homeostasis,5/565,18/10364,0.002238975375742285,0.01181232627356819,0.007778100837325004,DGAT2/ANGPTL4/APOE/MLXIPL/LPL,5
GO:0150077,regulation of neuroinflammatory response,5/565,18/10364,0.002238975375742285,0.01181232627356819,0.007778100837325004,PTGS2/IGF1/CX3CL1/LDLR/IL33,5
GO:0043534,blood vessel endothelial cell migration,13/565,97/10364,0.0022477728669137074,0.01184347762824288,0.007798613170989642,PTGS2/NR4A1/THBS1/APOE/ID1/SOX18/HMOX1/SLIT2/VEGFA/HSPB1/EGR3/ANGPT1/KLF4,13
GO:0045637,regulation of myeloid cell differentiation,17/565,145/10364,0.0022851233447340005,0.012024800736942157,0.007918009587151638,ISG15/C1QC/CSF3R/JUN/ZBTB16/FOS/FBN1/TYROBP/ZFP36/LIF/CCR1/LTF/HSPA1A/HSPA1B/HLA-DRB1/SFRP1/CA2,17
GO:0060135,maternal process involved in female pregnancy,8/565,44/10364,0.002304883009411257,0.012027791516229328,0.007919978935300262,PTGS2/RGS2/TPPP3/JUNB/LIF/SPP1/STC2/PTN,8
GO:0060337,type I interferon signaling pathway,8/565,44/10364,0.002304883009411257,0.012027791516229328,0.007919978935300262,ISG15/IFITM2/IFITM1/IFITM3/OAS1/OAS3/OAS2/IFI27,8
GO:0014002,astrocyte development,6/565,26/10364,0.002306257044513928,0.012027791516229328,0.007919978935300262,C1QA/S100A9/S100A8/LDLR/C5AR1/LAMC3,6
GO:0030501,positive regulation of bone mineralization,6/565,26/10364,0.002306257044513928,0.012027791516229328,0.007919978935300262,ISG15/CCN1/ALOX5/TMEM119/LTF/PTN,6
GO:0042554,superoxide anion generation,6/565,26/10364,0.002306257044513928,0.012027791516229328,0.007919978935300262,AGT/CLEC7A/ACP5/TYROBP/EDN1/CYBB,6
GO:0050795,regulation of behavior,6/565,26/10364,0.002306257044513928,0.012027791516229328,0.007919978935300262,MDK/APOE/ARRDC3/RELN/NR4A3/PTGDS,6
GO:0090322,regulation of superoxide metabolic process,6/565,26/10364,0.002306257044513928,0.012027791516229328,0.007919978935300262,AGT/H19/CLEC7A/ACP5/TYROBP/CD36,6
GO:0051592,response to calcium ion,12/565,86/10364,0.0023233918529117882,0.012086361176392453,0.007958545489610233,AKR1C3/KCNMA1/SYT7/FOS/THBS1/JUNB/FOSB/DUSP1/EDN1/CPNE5/ADCY1/AQP3,12
GO:0062013,positive regulation of small molecule metabolic process,12/565,86/10364,0.0023233918529117882,0.012086361176392453,0.007958545489610233,MTCO2P12/PTGS2/IGF2/ADM/DGAT2/NNMT/IGF1/CES1/PLIN5/GPER1/MLXIPL/NR4A3,12
GO:0060349,bone morphogenesis,9/565,54/10364,0.0023486623581862862,0.012202314333013524,0.008034897541163611,ALPL/TMEM119/COL1A1/SOX9/ACP5/CYP26B1/LTF/FGFR3/SFRP2,9
GO:0019915,lipid storage,10/565,65/10364,0.0025422148621892884,0.01315780991884064,0.008664065822166169,DGAT2/CES1/ITGB3/PLIN5/C3/APOE/CD36/MSR1/LPL/ABCA1,10
GO:0030301,cholesterol transport,10/565,65/10364,0.0025422148621892884,0.01315780991884064,0.008664065822166169,SYT7/CES1/ABCA8/LDLR/APOE/APOC1/CD36/MSR1/CLU/ABCA1,10
GO:0097306,cellular response to alcohol,10/565,65/10364,0.0025422148621892884,0.01315780991884064,0.008664065822166169,AKR1C2/AKR1C3/CES1/KLF2/ADCY1/SFRP1/ABCA1/KLF4/TNC/CYBB,10
GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,15/565,122/10364,0.002551447533013591,0.013188921969896012,0.00868455227544897,VCAM1/SELP/SELL/HMCN1/PCDH9/CX3CL1/ICAM1/IL1RN/CLDN5/CLSTN2/SPARCL1/MDGA1/KLF4/TENM1/LRRC4,15
GO:0035051,cardiocyte differentiation,12/565,87/10364,0.0025653181687470532,0.013243899852270412,0.008720753740175486,VCAM1/RGS2/AGT/IGF1/SOX18/SIK1/PDGFRB/EDN1/PI16/VEGFA/GPER1/SEMA3C,12
GO:0021782,glial cell development,11/565,76/10364,0.002601257670264942,0.013412530103356012,0.008831792249169452,C1QA/PHGDH/S100A9/S100A8/MDK/ITGB4/LDLR/C5AR1/CLU/NTRK2/LAMC3,11
GO:0002042,cell migration involved in sprouting angiogenesis,8/565,45/10364,0.002672320532957451,0.013709875014947122,0.00902758591861764,PTGS2/NR4A1/THBS1/HMOX1/SLIT2/VEGFA/EGR3/KLF4,8
GO:0015718,monocarboxylic acid transport,8/565,45/10364,0.002672320532957451,0.013709875014947122,0.00902758591861764,PLA2G2A/CES1/ABCC3/ACE/SLC16A3/ABCG2/EDN1/CD36,8
GO:0032370,positive regulation of lipid transport,8/565,45/10364,0.002672320532957451,0.013709875014947122,0.00902758591861764,FABP3/CES1/ABCA8/C1QTNF1/APOE/SPP1/EDN1/ABCA1,8
GO:0045453,bone resorption,8/565,45/10364,0.002672320532957451,0.013709875014947122,0.00902758591861764,TMEM119/ITGB3/ACP5/CD38/SPP1/CSF1R/PDK4/CA2,8
GO:0051250,negative regulation of lymphocyte activation,13/565,99/10364,0.0027015173942344147,0.013842318162697988,0.009114796188175135,MNDA/FCGR2B/MDK/LRRC32/TYROBP/LILRB2/BCL6/HLA-G/HLA-DRB1/GPNMB/FGL2/SFRP1/VSIG4,13
GO:0060348,bone development,16/565,135/10364,0.0027209308585148025,0.013924363668449501,0.009168820958758435,ALPL/ZBTB16/IGF1/TMEM119/FBN1/COL1A1/SOX9/ACP5/TYROBP/CYP26B1/TGM2/LTF/FGFR3/SFRP2/SULF1/BGN,16
GO:0070665,positive regulation of leukocyte proliferation,12/565,88/10364,0.0028273580330337358,0.014414669905211223,0.00949167449855911,VCAM1/IGF2/IGF1/CCL5/LILRB2/IGFBP2/BCL6/CD38/CSF1R/CDKN1A/CD24/CD3E,12
GO:0002474,antigen processing and presentation of peptide antigen via MHC class I,6/565,27/10364,0.002830824280359019,0.014414669905211223,0.00949167449855911,FCER1G/ACE/IFI30/ERAP2/HLA-G/AZGP1,6
GO:0010524,positive regulation of calcium ion transport into cytosol,6/565,27/10364,0.002830824280359019,0.014414669905211223,0.00949167449855911,APLNR/THY1/CX3CL1/P2RX1/GPER1/RAMP3,6
GO:0061082,myeloid leukocyte cytokine production,6/565,27/10364,0.002830824280359019,0.014414669905211223,0.00949167449855911,HMOX1/BCL6/SPON2/HLA-G/CD36/NR4A3,6
GO:0048812,neuron projection morphogenesis,34/565,379/10364,0.002841260350813146,0.014449838355563998,0.009514831982258866,MFSD2A/CXCL12/EGR2/THY1/DCLK1/POSTN/FLRT2/NTN1/NGFR/SEMA6B/NOTCH3/APOE/NR4A2/FN1/ID1/S100B/CHL1/SEMA3G/SLIT2/UCHL1/SPP1/MAP1B/SLIT3/TUBB2B/CPNE5/VEGFA/LAMA2/SGK1/ADCY1/SEMA3C/RELN/PLXNA4/PTN/NTRK2,34
GO:0001516,prostaglandin biosynthetic process,5/565,19/10364,0.0029041188749286614,0.014678348980194987,0.009665300115259652,PTGS2/AKR1C3/PTGIS/EDN1/PTGDS,5
GO:0008207,C21-steroid hormone metabolic process,5/565,19/10364,0.0029041188749286614,0.014678348980194987,0.009665300115259652,AKR1C2/AKR1C3/ADM/CACNA1H/EGR1,5
GO:0010884,positive regulation of lipid storage,5/565,19/10364,0.0029041188749286614,0.014678348980194987,0.009665300115259652,PLIN5/C3/CD36/MSR1/LPL,5
GO:0040036,regulation of fibroblast growth factor receptor signaling pathway,5/565,19/10364,0.0029041188749286614,0.014678348980194987,0.009665300115259652,CREB3L1/THBS1/NGFR/SMOC2/SULF1,5
GO:0046457,prostanoid biosynthetic process,5/565,19/10364,0.0029041188749286614,0.014678348980194987,0.009665300115259652,PTGS2/AKR1C3/PTGIS/EDN1/PTGDS,5
GO:0120039,plasma membrane bounded cell projection morphogenesis,35/565,394/10364,0.0029138340824962556,0.014709293136547067,0.009685676014372006,MFSD2A/CXCL12/EGR2/THY1/DCLK1/POSTN/FLRT2/NTN1/NGFR/SEMA6B/NOTCH3/APOE/NR4A2/FN1/ID1/S100B/CHL1/SEMA3G/SLIT2/UCHL1/SPP1/MAP1B/SLIT3/TUBB2B/CPNE5/VEGFA/LAMA2/SGK1/ADCY1/SEMA3C/RELN/PLXNA4/PTN/ENPP2/NTRK2,35
GO:0001101,response to acid chemical,13/565,100/10364,0.002954998655250596,0.014880399132344329,0.009798344735025282,COL4A1/MMP2/NQO1/COL1A1/ICAM1/KLF2/EDN1/VEGFA/CCN2/COL1A2/PTN/NTRK2/CYBB,13
GO:0001952,regulation of cell-matrix adhesion,13/565,100/10364,0.002954998655250596,0.014880399132344329,0.009798344735025282,THY1/POSTN/THBS1/CX3CL1/FAM107A/BCL6/APOD/VEGFA/CD36/SERPINE1/SFRP1/CCL21/CD3E,13
GO:0090596,sensory organ morphogenesis,15/565,124/10364,0.002991246180655464,0.015044424893861756,0.009906351310821989,MFSD2A/PRRX1/THY1/FBN1/ALDH1A3/NTN1/SOX9/CYP26B1/FRZB/COL8A1/EDN1/VEGFA/PTN/NTRK2/COL5A1,15
GO:0001570,vasculogenesis,9/565,56/10364,0.003037766869442743,0.015088105137176571,0.009935113582472219,ADM/APLNR/JUNB/ACKR3/SOX18/PDGFRB/VEGFA/ITGB8/NTRK2,9
GO:0006883,cellular sodium ion homeostasis,4/565,12/10364,0.0030441560437977156,0.015088105137176571,0.009935113582472219,ATP1A2/AGT/SLC1A3/C7,4
GO:0019835,cytolysis,4/565,12/10364,0.0030441560437977156,0.015088105137176571,0.009935113582472219,PLA2G2A/PRF1/LYZ/C7,4
GO:0034104,negative regulation of tissue remodeling,4/565,12/10364,0.0030441560437977156,0.015088105137176571,0.009935113582472219,AGT/TMEM119/CD38/SFRP1,4
GO:0043031,negative regulation of macrophage activation,4/565,12/10364,0.0030441560437977156,0.015088105137176571,0.009935113582472219,FCGR2B/CX3CL1/LDLR/VSIG4,4
GO:0051770,positive regulation of nitric-oxide synthase biosynthetic process,4/565,12/10364,0.0030441560437977156,0.015088105137176571,0.009935113582472219,CCL2/AKAP12/NAMPT/IL33,4
GO:0060343,trabecula formation,4/565,12/10364,0.0030441560437977156,0.015088105137176571,0.009935113582472219,MMP2/COL1A1/ADAMTS1/SFRP1,4
GO:0070293,renal absorption,4/565,12/10364,0.0030441560437977156,0.015088105137176571,0.009935113582472219,AKR1C3/HBB/SGK1/AQP3,4
GO:0090183,regulation of kidney development,4/565,12/10364,0.0030441560437977156,0.015088105137176571,0.009935113582472219,AGT/SOX9/BASP1/VEGFA,4
GO:0098581,detection of external biotic stimulus,4/565,12/10364,0.0030441560437977156,0.015088105137176571,0.009935113582472219,CLEC7A/SSC5D/C4B/HLA-DRB1,4
GO:1901623,regulation of lymphocyte chemotaxis,4/565,12/10364,0.0030441560437977156,0.015088105137176571,0.009935113582472219,CCL2/CCL5/CCL21/PADI2,4
GO:1905906,regulation of amyloid fibril formation,4/565,12/10364,0.0030441560437977156,0.015088105137176571,0.009935113582472219,CRYAB/LDLR/APOE/CLU,4
GO:0045927,positive regulation of growth,18/565,162/10364,0.003121798243023179,0.015454222499319098,0.010176192070746977,MFSD2A/S100A9/S100A8/CXCL12/IGF2/IGF1/NTN1/FN1/CD38/HOPX/SFRP2/BASP1/MAP1B/HBEGF/EDN1/CPNE5/VEGFA/SFRP1,18
GO:0007420,brain development,40/565,469/10364,0.0031483021166547817,0.015566604910126422,0.010250192881709759,MFSD2A/PHGDH/NES/ATP1A2/FCGR2B/RGS2/PFKFB3/ITGA8/CXCL12/EGR2/DDIT4/MDK/CNTN1/DCLK1/PCDH9/COL4A1/CKB/ALDH1A3/SEMA6B/TYROBP/C5AR1/NR4A2/COL3A1/SERPINE2/ID1/APOD/SLIT2/ANXA3/SFRP2/BASP1/MDGA1/AQP1/ADCY1/RELN/PLXNA4/PTN/SFRP1/NTRK2/PADI2/CD3E,40
GO:0061387,regulation of extent of cell growth,11/565,78/10364,0.0032029832839447015,0.015798811523457357,0.010403094724391099,CXCL12/NTN1/SEMA6B/APOE/FN1/SEMA3G/SPP1/MAP1B/VEGFA/SEMA3C/PLXNA4,11
GO:1904064,positive regulation of cation transmembrane transport,11/565,78/10364,0.0032029832839447015,0.015798811523457357,0.010403094724391099,AGT/APLNR/THY1/CX3CL1/P2RX1/CCL2/GPER1/RAMP3/RELN/KCNN4/LCN2,11
GO:0009314,response to radiation,29/565,311/10364,0.003254785790363167,0.016035009657938394,0.010558624876965066,JUN/VCAM1/ATP1A2/PTGS2/CXCL12/ADIRF/CRYAB/FOS/CRIP1/MMP2/MFAP4/ICAM1/BCL3/COL3A1/THBD/SIK1/BHLHE40/MME/SFRP2/SLC1A3/EGR1/DUSP1/CDKN1A/AQP1/NAMPT/PTN/SFRP1/TIMP1/LCN2,29
GO:0044403,biological process involved in symbiotic interaction,21/565,202/10364,0.0033224310874640692,0.016348597202016705,0.010765113885368776,JUN/MRC1/IFIT1/IFITM2/IFITM1/IFITM3/IFI27/ANPEP/CCL5/ITGB3/ICAM1/LDLR/APOE/INHBB/FN1/SIGLEC1/LTF/CXCL8/HSPA1A/HSPA1B/HLA-DRB1,21
GO:0015909,long-chain fatty acid transport,7/565,37/10364,0.0033962599059781675,0.01665184198212529,0.010964792460397211,PLA2G2A/FABP3/MFSD2A/THBS1/ACE/APOE/CD36,7
GO:0021675,nerve development,7/565,37/10364,0.0033962599059781675,0.01665184198212529,0.010964792460397211,VCAM1/EGR2/NGFR/SERPINE2/SLC1A3/PLXNA4/SULF1,7
GO:0085029,extracellular matrix assembly,7/565,37/10364,0.0033962599059781675,0.01665184198212529,0.010964792460397211,LAMB3/AGT/MFAP4/SOX9/EMILIN1/TNXB/COL1A2,7
GO:0001953,negative regulation of cell-matrix adhesion,6/565,28/10364,0.0034397968927158636,0.01676491485568898,0.011039247922613193,POSTN/THBS1/FAM107A/BCL6/APOD/SERPINE1,6
GO:0035633,maintenance of blood-brain barrier,6/565,28/10364,0.0034397968927158636,0.01676491485568898,0.011039247922613193,MFSD2A/PTGS2/CLDN5/VEGFA/LAMA2/ANGPT1,6
GO:0046530,photoreceptor cell differentiation,6/565,28/10364,0.0034397968927158636,0.01676491485568898,0.011039247922613193,MFSD2A/THY1/SOX9/VEGFA/PTN/NTRK2,6
GO:0070169,positive regulation of biomineral tissue development,6/565,28/10364,0.0034397968927158636,0.01676491485568898,0.011039247922613193,ISG15/CCN1/ALOX5/TMEM119/LTF/PTN,6
GO:0110151,positive regulation of biomineralization,6/565,28/10364,0.0034397968927158636,0.01676491485568898,0.011039247922613193,ISG15/CCN1/ALOX5/TMEM119/LTF/PTN,6
GO:2001235,positive regulation of apoptotic signaling pathway,13/565,102/10364,0.0035202229763327607,0.01713649567789099,0.011283923953173793,S100A9/S100A8/G0S2/ATF3/AGT/THBS1/TNFRSF12A/NGFR/INHBB/TIMP3/TNFSF10/GPER1/SFRP1,13
GO:0048705,skeletal system morphogenesis,14/565,114/10364,0.0035381998981978877,0.017167021332256453,0.011304024279924094,ALPL/PRRX1/MGP/TMEM119/MMP2/COL1A1/SOX9/ACP5/CYP26B1/LTF/FGFR3/SFRP2/CCN2/SFRP1,14
GO:0015908,fatty acid transport,8/565,47/10364,0.003543266493834075,0.017167021332256453,0.011304024279924094,PLA2G2A/FABP3/MFSD2A/THBS1/ACE/APOE/EDN1/CD36,8
GO:0042632,cholesterol homeostasis,8/565,47/10364,0.003543266493834075,0.017167021332256453,0.011304024279924094,FABP3/DGAT2/CES1/LDLR/APOE/LPL/ABCA1/CD24,8
GO:0060993,kidney morphogenesis,8/565,47/10364,0.003543266493834075,0.017167021332256453,0.011304024279924094,AGT/SOX9/LIF/FRAS1/BASP1/PDGFRB/VEGFA/GPC3,8
GO:0009914,hormone transport,18/565,164/10364,0.0035641722351717896,0.017245618053149673,0.011355778117943157,AGT/ALOX5/ADRA2A/ADM/SYT7/SLC7A5/CCL5/C1QTNF1/IL1RN/INHBB/LIF/CD38/SPP1/EDN1/HLA-DRB1/GPER1/SFRP1/CCN3,18
GO:0098869,cellular oxidant detoxification,10/565,68/10364,0.003567913651933995,0.017245618053149673,0.011355778117943157,S100A9/PTGS2/H19/HBB/HBA2/HBA1/NQO1/APOE/GPX3/CD36,10
GO:0002701,negative regulation of production of molecular mediator of immune response,5/565,20/10364,0.0037010265833303767,0.01774239207512244,0.011682890521273383,FCGR2B/HMOX1/BCL6/ANGPT1/CD22,5
GO:0003298,physiological muscle hypertrophy,5/565,20/10364,0.0037010265833303767,0.01774239207512244,0.011682890521273383,RGS2/AGT/IGF1/EDN1/PI16,5
GO:0003301,physiological cardiac muscle hypertrophy,5/565,20/10364,0.0037010265833303767,0.01774239207512244,0.011682890521273383,RGS2/AGT/IGF1/EDN1/PI16,5
GO:0045933,positive regulation of muscle contraction,5/565,20/10364,0.0037010265833303767,0.01774239207512244,0.011682890521273383,PTGS2/RGS2/EDN1/CCN2/GPER1,5
GO:0051937,catecholamine transport,5/565,20/10364,0.0037010265833303767,0.01774239207512244,0.011682890521273383,AGT/CXCL12/SNCG/ADRA2A/SYT7,5
GO:0061049,cell growth involved in cardiac muscle cell development,5/565,20/10364,0.0037010265833303767,0.01774239207512244,0.011682890521273383,RGS2/AGT/IGF1/EDN1/PI16,5
GO:1901020,negative regulation of calcium ion transmembrane transporter activity,5/565,20/10364,0.0037010265833303767,0.01774239207512244,0.011682890521273383,ATP1A2/ADRA2A/RRAD/PLN/GEM,5
GO:0021700,developmental maturation,17/565,152/10364,0.003753537628975375,0.017973079594181506,0.011834792081016848,C1QA/ZBTB16/CLEC7A/IGF1/MMP2/CX3CL1/C3/KLF2/NR4A2/SOX18/LTF/FGFR3/MAP1B/CDKN1A/VEGFA/RELN/CCL21,17
GO:0042098,T cell proliferation,15/565,127/10364,0.003766519625446324,0.018014172133851928,0.01186185041904579,VCAM1/IGF2/LRRC32/IGF1/CCL5/TNFSF14/LILRB2/IGFBP2/SLC11A1/HLA-G/HLA-DRB1/GPNMB/VSIG4/CD24/CD3E,15
GO:0042129,regulation of T cell proliferation,13/565,103/10364,0.0038340722236597353,0.018294512451821628,0.012046447018516234,VCAM1/IGF2/LRRC32/IGF1/CCL5/LILRB2/IGFBP2/HLA-G/HLA-DRB1/GPNMB/VSIG4/CD24/CD3E,13
GO:0050770,regulation of axonogenesis,13/565,103/10364,0.0038340722236597353,0.018294512451821628,0.012046447018516234,CXCL12/THY1/NTN1/SEMA6B/FN1/SEMA3G/SLIT2/SPP1/MAP1B/VEGFA/SEMA3C/PLXNA4/NTRK2,13
GO:0007613,memory,9/565,58/10364,0.003877184979966064,0.018478690696136283,0.012167723465097839,PTGS2/MDK/LDLR/APOE/S100B/SGK1/ADCY1/RELN/PTN,9
GO:0050671,positive regulation of lymphocyte proliferation,11/565,80/10364,0.00391167720822091,0.01862140289587954,0.012261695630665547,VCAM1/IGF2/IGF1/CCL5/LILRB2/IGFBP2/BCL6/CD38/CDKN1A/CD24/CD3E,11
GO:0051090,regulation of DNA-binding transcription factor activity,28/565,301/10364,0.003930287435003437,0.018688265689784052,0.012305722991678954,ID3/S100A9/S100A8/AGT/CLEC7A/CMKLR1/CX3CL1/ICAM1/BCL3/CYP1B1/ID1/PTGIS/SIK1/HMOX1/BHLHE40/LTF/ANXA3/EDN1/HSPA1A/HSPA1B/VEGFA/SGK1/ADCY1/CD36/RELN/CLU/KLF4/NLRP2,28
GO:0002763,positive regulation of myeloid leukocyte differentiation,7/565,38/10364,0.003971666116118606,0.018833279666596873,0.01240121081586779,JUN/FOS/TYROBP/LIF/CCR1/HLA-DRB1/CA2,7
GO:0032757,positive regulation of interleukin-8 production,7/565,38/10364,0.003971666116118606,0.018833279666596873,0.01240121081586779,F3/CHI3L1/CLEC7A/CD14/HSPA1A/HSPA1B/SERPINE1,7
GO:0043500,muscle adaptation,10/565,69/10364,0.003974585645319907,0.018833279666596873,0.01240121081586779,RGS2/AGT/IGF1/IGFBP5/HMOX1/KLF15/EDN1/PI16/NR4A3/KLF4,10
GO:0046394,carboxylic acid biosynthetic process,20/565,192/10364,0.004018573145622211,0.019019697639511366,0.012523962063813182,GSTM1/PHGDH/PTGS2/AKR1C3/ALOX5/SCD/FADS2/BCAT1/ALDH1A3/CES1/APOC1/THNSL2/PTGIS/GGT5/SLC1A3/EDN1/MLXIPL/PDK4/LPL/PTGDS,20
